id_cohorte;effectif;inscriptions;réussites
1;1779;B1PAES;
2;1138;D1DRO;
3;1027;B1STA;
4;1000;D1AES;
5;869;B1PAES, B1PAES;
6;799;S1TC, S2TC;S1TC, S2TC
7;642;L1PSY;
8;641;B1SSO;
9;612;B1IFTS, B2IFTS, B3IFTS;B1IFTS, B2IFTS, B3IFTS
10;583;E1EGE;
11;553;L1ANG;
12;519;G1INF;
13;452;V1CJ;
14;424;S1GE;
15;408;B1SVI;
16;395;L1LAE;
17;393;G1MAT;
18;355;D1SPO;
19;355;D1DRO, D1DRO;
20;315;B1SSSI;
21;312;D1AES, D1AES;
22;296;L1HHI;
23;290;B1PAES, B1PAES;B1PAES
24;289;C1COM, C2COM, C3COM;C1COM, C2COM, C3COM
25;284;DXEN;
26;269;B6EME;
27;254;B1SPS;
28;253;L1ESP;
29;250;B1IFDE, B2IFDE, B3IFDE;B1IFDE, B2IFDE, B3IFDE
30;248;L1PSY, L2PSY, L3PSY;L1PSY, L2PSY, L3PSY
31;244;R1LL;
32;240;G1PC;
33;239;BUVIH1;
34;235;L1LET;
35;230;B1STA, B1STA;
36;228;A1GE;
37;219;S1PR, S2PR;S1PR, S2PR
38;218;C1COM;
39;214;L1PMS5, L2PSY5, L3PSY5;L1PMS5, L2PSY5, L3PSY5
40;213;BUSIR;BUSIR
41;212;V1IN, V2IN;V1IN, V2IN
42;202;V1EI, V2EI;V1EI, V2EI
43;202;B1IFTS;
44;200;S1TC;
45;196;;LXAA51
46;195;V1GE;
47;193;G1SPI;
48;189;L1GEA;
49;189;LXAA1;LXAA1
50;184;E1EGEB;
51;182;D1PMS4, L2PSY4, L3PSY4;D1PMS4, L2PSY4, L3PSY4
52;182;V1IN;
53;181;L1PSY;L1PSY
54;176;B1IFAV, B2IFAV, B3IFAV;B1IFAV, B2IFAV, B3IFAV
55;172;-8<--, B1PAES;
56;171;V1CAJ;
57;171;S1GA;
58;169;S1PR;
59;167;B4MES, B5MES;B4MES, B5MES
60;167;V1EI;
61;164;S1TC, S2TC;S1TC
62;162;B1IFJV, B2IFJV, B3IFJV;B1IFJV, B2IFJV, B3IFJV
63;162;BUSC;BUSC
64;162;S1TDC;
65;159;L1PSY, L1PSY;
66;158;BUMT;BUMT
67;157;D1PMS4;
68;156;B1SSO, B1SSO;
69;154;S3CCA2;S3CCA2
70;153;V1GA;
71;153;A1MM, A2MM;A1MM, A2MM
72;152;B1SSS;
73;152;-8<--, B2IFTS, B3IFTS;B2IFTS, B3IFTS
74;152;E0EGE;
75;147;B1IFRB, B2IFRB, B3IFRB;B1IFRB, B2IFRB, B3IFRB
76;147;L1PSY, L2PSY;L1PSY, L2PSY
77;146;G1INF, G1INF;
78;145;S3ESF2;S3ESF2
79;142;BUIAC, BUACO;BUIAC, BUACO
80;139;B1IFTS, B2IFTS, B3IFTS;B1IFTS, B2IFTS
81;139;B4MQS2, B5MQS2;B4MQS2, B5MQS2
82;137;B1IFVE, B2IFVE, B3IFVE;B1IFVE, B2IFVE, B3IFVE
83;136;-8<--, B3IFTS;B3IFTS
84;135;B1STA;B1STA
85;135;V3MEC;V3MEC
86;135;P3CCA2;P3CCA2
87;135;B1PAES;B1PAES
88;133;S1IM;
89;131;S1HS;
90;131;S1MP, S2MP;S1MP, S2MP
91;130;-8<--, D3APS4;D3APS4
92;130;B1PAES, B1PAES, B2SM, B3SM, B3DFAS, B4DFAS, B5DFAS;B1PAES, B2SM, B3SM, B3DFAS, B4DFAS, B5DFAS
93;128;A3GES6;A3GES6
94;128;L1ANES;
95;127;-8<--, B1IFTS, B2IFTS, B3IFTS;B1IFTS, B2IFTS, B3IFTS
96;126;P1SG, P2SG;P1SG, P2SG
97;125;C1COM;C1COM
98;125;L1ANG, L1ANG;
99;125;D1DRO6;
100;125;L1PMS5, B2SSO5, B3SSS5;L1PMS5, B2SSO5, B3SSS5
101;125;V1INF;
102;124;-8<--, S2TC;S2TC
103;124;L4ETH;L4ETH
104;123;V1CJ, V2CJ;V1CJ, V2CJ
105;122;B1SSO;B1SSO
106;122;B1IFRB, B2IFRB, B3IFRB;B1IFRB, B2IFRB
107;122;V1GE, V2GP;V1GE, V2GP
108;120;A1CG, A2CG;A1CG, A2CG
109;120;E1EGE, E2EGE;E1EGE
110;119;S1GE, S2GF;S1GE, S2GF
111;118;D1PMS4, B2SSS4, B3SSS4;D1PMS4, B2SSS4, B3SSS4
112;118;BUSDM;BUSDM
113;117;G0PC;
114;116;V1GE, V2GF;V1GE, V2GF
115;116;B1IFTS, B2IFTS;B1IFTS
116;115;;LXAA52
117;115;E4MBF2, E5BRA2;E4MBF2, E5BRA2
118;111;V1RT;
119;109;LXAA3;LXAA3
120;108;L1PMS5, D2AES5, D3APS5;L1PMS5, D2AES5, D3APS5
121;108;S1GE, S2GP;S1GE, S2GP
122;106;-8<--, DXEN;
123;106;B1IFLC, B2IFLC, B3IFLC;B1IFLC, B2IFLC, B3IFLC
124;105;V1GEI;
125;104;A3LGD;A3LGD
126;104;B1IFDE;
127;104;E1EGE, E1EGE;
128;104;B1SSO5, B2SSO5, B3SSS5;B1SSO5, B2SSO5
129;104;G0MAT;
130;104;A3GES4;A3GES4
131;104;V1CJ, V2CJ;V1CJ, V1CII, V2CJ
132;103;B1SVI;B1SVI
133;103;L3SED;L3SED
134;103;B5MES3;B5MES3
135;103;G1PI;
136;102;B1SVES;
137;102;C3COM;C3COM
138;102;A1GA;
139;101;S1IM, S2IM;S1IM, S2IM
140;101;BUTREM;
141;101;B5QSS7;
142;100;B1SSO5, B2SSO5, B3SSS5;B1SSO5, B2SSO5, B3SSS5
143;100;D1PMS4, D2AES4, D3APS4;D1PMS4, D2AES4, D3APS4
144;99;D1SPO;D1SPO
145;99;G5EI2D;G5EI2D
146;98;B1PAES, B1PAES, B2SM;
147;98;R2SDDT;
148;98;C1COM, C2COM;C1COM, C2COM
149;97;S3CFA2;S3CFA2
150;97;-8<--, D1DRO;
151;96;BUPB;BUPB
152;95;D5ONG;D5ONG
153;95;B5MES;B5MES
154;95;B1IFRB;
155;95;B4MKDA;
156;95;L4ETH, L5ETF;L4ETH, L5ETF
157;95;DUJOH8;DUJOH8
158;94;E1EGE;E1EGE
159;94;L1PMS5;
160;94;B1DROP;
161;94;B1SSO5, B2SSO5;B1SSO5
162;93;B4MES;
163;92;G0SPI;
164;92;B1IFVE, B2IFVE, B3IFVE;B1IFVE, B2IFVE
165;92;L1PSY, L2PSY, L3PSY;L1PSY, L2PSY
166;92;LXAA1A;LXAA1A
167;92;B4MES3, B5MES3;B4MES3, B5MES3
168;91;-8<--, D1AES;
169;91;B1SSO4;
170;91;-8<--, B2IFDE, B3IFDE;B2IFDE
171;91;B4IADS, B5IADS;B4IADS, B5IADS
172;90;S2TC7;S2TC7
173;90;G0INF;
174;89;A1GE, A2GF;A1CII, A1GE, A2GF
175;89;G1PC9;G1PC9
176;89;S1GMP;
177;88;B5MES6;B5MES6
178;88;B1SSO4, B2SSS4;B1SSO4
179;87;G1PC9, G2PC9;G1PC9
180;87;-8<--, E1EGE;
181;87;B1SSO4, B2SSS4, B3SSS4;B1SSO4, B2SSS4
182;87;DXEN;DXEN
183;87;B1IFJV;
184;86;B1STA, B2STA;B1STA
185;85;V3MDN;V3MDN
186;84;E4CC2, E5CC2;E4CC2, E5CC2
187;84;G1PC9;
188;84;D1DRO;D1DRO
189;84;L1LAE, L1LAE;
190;84;S3MDE;S3MDE
191;83;L1PSY, L2PSY;L1PSY
192;83;L1LET;L1LET, LUORT
193;83;S1HS, S2HS;S1HS, S2HS
194;83;B1IFAV;
195;83;A1CA, A2CA;A1CA, A2CA
196;82;BUMM;BUMM
197;82;A3MAS;A3MAS
198;80;KUPARO;
199;80;B1SVI, B1SVI;
200;79;B3MKDA;
201;79;E4EIR2, E5BGR2;E4EIR2, E5BGR2
202;79;P1SG;
203;79;B1PAES, B2SM, B3SM, B3DFAS, B4DFAS, B5DFAS;B1PAES, B2SM, B3SM, B3DFAS, B4DFAS, B5DFAS
204;79;D1DRO, D2DRO;D1DRO
205;79;D5DIM;D5DIM
206;78;B1SSO, B2SSO, B3SSO;B1SSO, B2SSO, B3SSO
207;78;S1PR, S2PR;S1PR
208;78;V1RET;
209;77;B1SPS, B1SPS;
210;77;EUCEP;
211;77;-8<--, B6EM;B6EM
212;76;B5MKDA;
213;76;V1IN, V2IN;V1IN
214;76;B1STA, B2STA;B1STA, B2STA
215;76;G1MAT, G1MAT;
216;76;E1EGE9, E2EGE9;E1EGE9, E2EGE9
217;75;-8<--, B4EM, B5EM, B6EM;B4EM, B5EM, B6EM
218;75;S1MP;
219;75;G1PC9, G2PC9;G1PC9, G2PC9
220;75;D5DHS3;D5DHS3
221;75;V1CJ2, V2CJ2;V1CJ2, V2CJ2
222;74;G1MATR;
223;74;B1SVI, B2SVI, B3SVI;B1SVI, B2SVI, B3SVI
224;74;L3GEA;L3GEA
225;74;S1GE, S2GR;S1GE, S2GR
226;74;-8<--, B1SSS;
227;74;S3CCA2;
228;73;B1IFJV, B2IFJV, B3IFJV;B1IFJV, B2IFJV
229;73;B5MES8;B5MES8
230;73;BUSIR;
231;72;-8<--, B3IFAV;B3IFAV
232;72;B1SEP6;
233;72;B1PAES, B1PAES, B2SM, B3SM, B3DFAS;B1PAES, B2SM, B3SM
234;71;-8<--, B3IFDE;B3IFDE
235;71;S1GE, S2GMO;S1GE
236;71;A1MM;
237;70;R4SCES;
238;70;B1SSOP;
239;70;BUURT;
240;70;V3CCX3;V3CCX3
241;70;V1GE, V2GCF;V1GE, V2GCF
242;70;L1LAA;
243;70;B1SVIP;
244;69;A3GES;A3GES
245;69;A1CS, A2CS, A3ISA;A1CS, A2CS, A3ISA
246;69;V1RT, V2RT;V1RT, V2RT
247;68;B1IFVE;
248;68;BUMPH1;
249;67;G53IR;G53IR
250;67;V1GE, V2GMO;V1GE, V2GMO
251;67;L4ETH, L5ETA;L4ETH, L5ETA
252;66;BUMS;BUMS
253;66;D1DRO, D1DRO, D1DRO;
254;65;V1CJ, V2CJAP;V1CJ, V2CJAP
255;65;B1IFDE, B2IFDE;B1IFDE
256;65;BUPH1C, BUPH2C;BUPH1C, BUPH2C
257;65;G1INFR;
258;65;A3GES5;A3GES5
259;64;B1SSO4, B2SSS4, B3SSS4;B1SSO4, B2SSS4, B3SSS4
260;64;A3WEB2;A3WEB2
261;64;B1PAES, B1PAES, B2SM, B3SM;B2SM
262;64;G5PRLS;G5PRLS
263;64;-8<--, B3IFRB;B3IFRB
264;63;G5SD;G5SD
265;63;A3MAS2;A3MAS2
266;63;R1DRT;
267;63;L3IIS6, L3IIS6;L3IIS6
268;63;YUFER;YUFER
269;63;BUEPS;BUEPS
270;63;S1TC2, S2TC2;S1TC2, S2TC2
271;62;B5MES;
272;62;B1AGAP;
273;62;A3DWM5;A3DWM5
274;62;D1AES, D2AES;D1AES
275;62;S2TC7;
276;62;;LXAB51
277;62;B1SSO5;
278;62;B1SSSI;B1SSSI
279;62;;LXAA8
280;61;B4MES3;B4MES3
281;61;V1GE, V2GMO;V1GE
282;61;A3AI5;A3AI5
283;61;EUCEP;EUCEP
284;61;B1PAES, B2SM, B3SM, B3DFAS;B1PAES, B2SM, B3SM
285;61;-8<--, B1IFAV, B2IFAV, B3IFAV;B1IFAV, B2IFAV, B3IFAV
286;61;-8<--, B2IFAV, B3IFAV;B2IFAV, B3IFAV
287;60;V3SIL5;
288;60;LXAB1;LXAB1
289;60;BUIAC;
290;60;S1HS, S2HS;S1HS
291;60;B3MSP3;
292;60;B5MES3;
293;60;A3AM2;A3AM2
294;60;BUIAC, BUACO2;BUIAC, BUACO2
295;60;D5ACO;D5ACO
296;60;D1DRO, D2DRO, D2DRO;D1DRO
297;59;G9SC;
298;59;E5CEE;E5CEE
299;59;R1COM;
300;59;E1EGE9;
301;59;-8<--, B1PAES;B1PAES
302;59;R1PEHG;
303;59;BUGE;BUGE
304;59;D1AES, D2AES, D3AEE;D1AES, D2AES, D3AEE
305;59;-8<--, B5EM, B6EM;B5EM, B6EM
306;59;S3MC2;S3MC2
307;58;D5RSE;D5RSE
308;58;B5MES6;
309;58;S1GIM;
310;58;-8<--, B1IFDE, B2IFDE, B3IFDE;B1IFDE, B2IFDE, B3IFDE
311;58;B4INB;
312;58;L5PPC;L5PPC
313;57;-8<--, B2IFRB, B3IFRB;B2IFRB, B3IFRB
314;57;P1TC, P2TC;P1TC, P2TC
315;57;;B1IFTS, B2IFTS, B3IFTS
316;57;-8<--, E5BFA2;E5BFA2
317;57;S3CCA1;S3CCA1
318;57;V3PAI;V3PAI
319;57;S3MDE;
320;57;D1DRO6, D2DRO6;D1DRO6
321;56;B1STA, B1STA, B2STA;B1STA
322;56;LXAA51;LXAA51
323;56;B1IFDE, B2IFDE, B3IFDE;B1IFDE, B2IFDE
324;56;-8<--, BUACO2;BUACO2
325;56;A3EXP;A3EXP
326;55;V3MEC;
327;55;B1PAES, B2SM, B3SM, B3DFAS, B4DFAS;B1PAES, B2SM, B3SM, B3DFAS
328;55;B4MES6, B5MES6;B4MES6, B5MES6
329;55;BUMPH1, BUMPH2;BUMPH2
330;55;L1LAE, L2LAE, L3LAE;L1LAE, L2LAE, L3LAE
331;55;-8<--, C4CEM;
332;55;B1IFVE, B2IFVE;B1IFVE
333;55;-8<--, C3COM;C3COM
334;54;-8<--, D2AES4, D3APS4;D2AES4, D3APS4
335;54;C4CDL, C5CDL;C4CDL, C5CDL
336;54;S1GE, S2GMO;S1GE, S2GMO
337;54;B2MKDA;
338;54;DUJOH8;
339;54;S3FIS2;S3FIS2
340;54;L4SED;
341;54;B1STA, B2STA, B3STE;B1STA, B2STA
342;54;G1INF, G1INF, G1INF;
343;53;S2GR7;S2GR7
344;53;BUOMM1, BUOMM2, BUOMM3;BUOMM1, BUOMM2, BUOMM3
345;53;C4CDL2, C5CDL2;C4CDL2, C5CDL2
346;53;-8<--, B3IFJV;B3IFJV
347;53;G1MAT9;
348;53;V1IN, V2IN;V1IN, V2IN, VCLS2A
349;53;-8<--, P3CCA2;P3CCA2
350;53;-8<--, B1STA;
351;53;-8<--, B4MOS, B5MOS;B4MOS, B5MOS
352;53;G1PC, G1PC;
353;53;G0PC, G1PCR;
354;52;S2GF7;S2GF7
355;52;S3EF2;S3EF2
356;52;V3EII;V3EII
357;52;A1MMI;
358;52;D1DRO, D1DRO, D2DRO;D1DRO
359;51;A3GES7;A3GES7
360;51;-8<--, BUVIH1;BUVIH1
361;51;-8<--, B3SM, B3DFAS, B4DFAS, B5DFAS;B3SM, B3DFAS, B4DFAS, B5DFAS
362;51;E1EGEB, E1EGEB;
363;51;E4BFA2, E5BRA2;E4BFA2, E5BRA2
364;51;E1EGE, E2EGE, E3GEST;E1EGE, E2EGE, E3GEST
365;50;G1INF, G1INFR;
366;50;E4CC, E5CC;E4CC, E5CC
367;50;S1HSE;
368;50;A1GE;A1CII
369;50;-8<--, S2TCB;S2TCB
370;50;B1STAS;
371;50;-8<--, V2CJ;V2CJ
372;50;-8<--, B3IFVE;B3IFVE
373;50;;LXAB52
374;49;D1DRO, D1DRO, D2DRO, D2DRO;D1DRO
375;49;S3MDE2;S3MDE2
376;49;B4MES6;B4MES6
377;49;D5DDA;D5DDA
378;49;B1STA, B2STA, B3STA;B1STA, B2STA, B3STA
379;49;V1GE, V2GR;V1GE, V2GR
380;49;D5ETS;D5ETS
381;48;V1EI, V2EI;V1EI
382;48;B1SVES;B1SVES
383;48;B1STA, B2STA, B3STE, B4MFST, B5MFST;B1STA, B2STA, B3STE, B4MFST, B5MFST
384;48;L1HGE;
385;48;B5MES8;
386;48;G1MAT, G1MATR;
387;48;B1STA, B2STA, B2STA;B1STA
388;48;B1IFLC;
389;48;L1HK9;
390;47;B1PAES, B1PAES, B2SM, B3SM, B3DFAS, B4DFAS;B1PAES, B2SM, B3SM, B3DFAS
391;47;G43IR, G53IR;G43IR, G53IR
392;47;S3REV1;S3REV1
393;47;L5PPI;L5PPI
394;47;V3MDN2;V3MDN2
395;47;-8<--, S2TCA, S2TCB;S1TCB, S2TCA, S2TCB
396;47;B1SVIR;
397;47;G3SI;
398;47;-8<--, L5PCP;L5PCP
399;47;D5EIF;D5EIF
400;47;A1CA;
401;47;B4ETS3, B5ETS3;B4ETS3, B5ETS3
402;47;B1STA, B2STA, B3SEP;B1STA, B2STA, B3SEP
403;46;S1GR2, S2GR2;S1GR2, S2GR2
404;46;B4MES6, B5MES6;B4MES6
405;46;B1SSSI, B1SSO;
406;46;BUDIA4;BUDIA4
407;46;A3CIB;A3CIB
408;46;V1CJ, V2CJAP;V1CJ
409;46;-8<--, B2IFJV, B3IFJV;B2IFJV, B3IFJV
410;45;BUPH1C;
411;45;B4MES3, B5MES3;B4MES3
412;45;L3SED;
413;45;-8<--, P2TC;P2TC
414;45;V3SIL2;V3SIL2
415;45;BUOS1, BUOS2;BUOS1, BUOS2
416;44;B1IFRB, B2IFRB;B1IFRB
417;44;B4NSP, B5NSP;B4NSP, B5NSP
418;44;A1GE, A2GP;A1CII, A1GE, A2GP
419;44;V1CAJ2;
420;44;B1IFAV, B2IFAV, B3IFAV;B2IFAV
421;44;BUGAS;
422;44;-8<--, B5MOS;B5MOS
423;44;DXEN, DXEN;
424;43;BUHO1;BUHO1
425;43;V1CJ, V2CJE;V1CJ, V2CJE
426;43;L1ANG;L1ANG
427;43;V3MN;V3MN
428;43;BUPAC3;BUPAC3
429;43;B1SVCP;
430;43;V1CJ2;
431;43;-8<--, B1IFJV, B2IFJV, B3IFJV;B1IFJV, B2IFJV, B3IFJV
432;43;G1SPI, G1SPI;
433;43;B1PCCP;
434;43;B5BTC;B5BTC
435;43;D5EIE;D5EIE
436;42;-8<--, BUTM;BUTM
437;42;DUJOHA;DUJOHA
438;42;R1ECOG;
439;42;E3ENT4;E3ENT4
440;42;G2SPA;
441;42;-8<--, E4BFA2, E5BFA2;E4BFA2, E5BFA2
442;42;A3AI4;A3AI4
443;42;B4MES6;
444;42;V3CCA3;
445;42;B1IFDE, B2IFDE, B3IFDE;B2IFDE
446;42;B1EGEP;
447;42;BUURT;BUURT
448;42;B1PAES, B2SM, B3SM;B2SM
449;41;S1IM, S2IM;S1IM
450;41;G1INF, G2INF, G3INF;G1INF, G2INF, G3INF
451;41;E4MAK2, E5MAK2;E4MAK2, E5MAK2
452;41;V3MEC2;V3MEC2
453;41;D5DCO;D5DCO
454;41;L2LAE;
455;41;C4DIMI, C5DIMI;C4DIMI, C5DIMI
456;41;G5PRQE;G5PRQE
457;41;-8<--, D2AES5, D3APS5;D2AES5, D3APS5
458;41;G3SPI;G3SPI
459;41;D1SPO, D2SPO;D1SPO, D2SPO
460;41;D1DRO6, D2DRO6, D3DRO6, D4DDA6;D1DRO6, D2DRO6, D3DRO6, D4DDA6
461;40;V2IN7;V2IN7
462;40;V3RT;V3RT
463;40;S2GRH7;
464;40;L1ESP, L1ESP;
465;40;D1SPO, D1SPO;
466;40;B1STA, B1STA;B1STA
467;40;-8<--, E5BFG2;E5BFG2
468;40;G1MIE;
469;40;L1EAR;
470;40;-8<--, L4PSY;
471;40;B1IFJV, B2IFJV;B1IFJV
472;40;B1IFTS;B1IFTS
473;40;BUOS2;BUOS2
474;40;C5POL2;C5POL2
475;40;V3MDN2;
476;40;S2GCF7;
477;40;B1STA, B2STA, B3STA;B1STA, B2STA
478;40;L4TAL;
479;40;G3SPI;
480;40;BUEE;BUEE
481;39;L1LET, L1LET;
482;39;E4CGR2;
483;39;A1GE, A2GF;A1GE, A2GF
484;39;E1EGE, E2EGE, E3CCFE;E1EGE, E2EGE
485;39;L3PSY;L3PSY
486;39;-8<--, B3IFLC;B3IFLC
487;39;B1SEP6, B2SEP6;B1SEP6
488;38;E0EGE, E1EGE;E0EGE
489;38;G5MATF;G5MATF
490;38;A3WEB;A3WEB
491;38;V3ACC;V3ACC
492;38;L0PSY;
493;38;A3AI6;A3AI6
494;38;V2GF3;V2GF3
495;38;R1SCPO;
496;37;BUCR1, BUCR2;BUCR2
497;37;L4T2D;
498;37;B1IFAV, B2IFAV;B1IFAV
499;37;V1GE, V2GCF;V1GE
500;37;-8<--, E4BFG2, E5BFG2;E4BFG2, E5BFG2
501;37;D1DRO, D2DRO, D3DRO;D1DRO, D2DRO, D3DRO
502;37;S3HR2;S3HR2
503;37;E1EGE, E2EGE, E3EMO;E1EGE, E2EGE
504;37;S1PR2, S2PR2;S1PR2, S2PR2
505;37;A1CG;
506;37;C1COM, C2COM;C1COM
507;37;C4CEIA, C5CEIA;C4CEIA, C5CEIA
508;37;L5CDEA;L5CDEA
509;37;B9MB1;
510;37;A1GBA, A2GBA, A2GBB;A1GBA, A1GBB, A2GBA, A2GBB
511;37;SUCA;
512;37;B1SSS, B1SSO;
513;37;V1GE, V2GP;V1CII, V1GE, V2GP
514;37;-8<--, V2EI;V2EI
515;37;D4DPG;
516;36;R4PEHG;
517;36;BUTM;BUTM
518;36;G4SGM;
519;36;L2SED, L3SED;L2SED, L3SED
520;36;D4DDA;
521;36;E4MBF2, E5BCP2;E4MBF2, E5BCP2
522;36;C4RHC2, C5RHC2;C4RHC2, C5RHC2
523;36;L4SDL;
524;36;G0INF, G1INFR;
525;36;R4LL;
526;36;-8<--, L4ETH;L4ETH
527;36;-8<--, D4REI;
528;36;S3CCA4;S3CCA4
529;36;G1SPI9;
530;36;S1GE, S2GCF;S1GE, S2GCF
531;36;-8<--, BUPT;BUPT
532;36;-8<--, V2GF;V2GF
533;36;S2GF7;
534;35;V3RT2;V3RT2
535;35;L4ETH;
536;35;B4MES;B4MES
537;35;-8<--, C2COM, C3COM;C2COM, C3COM
538;35;D1AES;D1AES
539;35;L1HGA;
540;35;-8<--, B1IFRB, B2IFRB, B3IFRB;B1IFRB, B2IFRB, B3IFRB
541;35;-8<--, G4SE, G5SE;G4SE, G5SE
542;35;BUIAC, [trou], BUACO;BUIAC
543;35;S3MC1;S3MC1
544;35;V3ACC2;V3ACC2
545;35;L3GEA;
546;35;D1AES, D1AES, D2AES;D1AES
547;35;G2SPI9;
548;35;E5BGR7, E5BGR7;E5BGR7
549;35;S3REV1;
550;35;E5CEE2;E5CEE2
551;35;C4RHC, C5RHC;C4RHC, C5RHC
552;35;A3EXP;
553;35;B1IFAV, B2IFAV, B3IFAV;B1IFAV, B3IFAV
554;34;B2IFTS, B3IFTS;B2IFTS, B3IFTS
555;34;V1GE, V2GF;V1CII, V1GE, V2GF
556;34;V3EII;
557;34;-8<--, D3DRO;
558;34;C1COM, C2COM, C3COM;C2COM, C3COM
559;34;V1CJ, V2CJBA;V1CJ, V2CJBA
560;34;S1GE, S2GCF;S1GE
561;34;BUHO;BUHO
562;34;G1INF, G2INF;G1INF
563;34;-8<--, B1IFLC, B2IFLC, B3IFLC;B1IFLC, B2IFLC, B3IFLC
564;34;-8<--, BUPH2C;BUPH2C
565;34;B1PAES, B1PAES, B2SM, B3SM;
566;34;B4MQS2;
567;34;B1SVI, B2SVI;B1SVI
568;34;C1COM, C2COM, C3COM;C1COM, C2COM
569;34;BUPHC1;
570;34;-8<--, E5CCA;E5CCA
571;34;A3CIB4;A3CIB4
572;34;E1EGES;
573;34;E3CCA4;E3CCA4
574;33;B1STAP;
575;33;C5DC;C5DC
576;33;-8<--, L1PSY;
577;33;G1INF;G1INF
578;33;A1MM, A2MM;A1MM
579;33;C4CM;C4CM
580;33;BUPR;BUPR
581;33;B1IFLC, B1IFLC;
582;33;G3ST;
583;33;R8EDOC;
584;33;D1DRO, D1DRO;D1DRO
585;33;G8IN, G8IN, G8IN;
586;33;B1SVIS;
587;33;B1STA, B1STA, B2STA, B2STA;B1STA
588;33;B1LE8S;
589;33;L1ANG, L2ANG;L1ANG
590;33;L1HHI, L1HHI;
591;33;B1SSO, B2SSO;B1SSO
592;33;B9MB1;B9MB1
593;32;B5NSP;B5NSP
594;32;C3COM;
595;32;L1ANES, L1ANES;
596;32;V3CB;V3CB
597;32;G5SD;
598;32;A3DWM6;A3DWM6
599;32;-8<--, A2CA;A2CA
600;32;S3ME2;S3ME2
601;32;L4PSD5, L5PSD5;L4PSD5
602;32;B1PAES, B1SVI;
603;32;B4MES5;B4MES5
604;32;D1AES, D2AES, D2AES;D1AES
605;32;D1DRO6, D2DRO6, D3DRO6;D1DRO6, D2DRO6
606;32;S3CFA;S3CFA
607;32;A3ASO;A3ASO
608;32;S2GR7;
609;31;V3EON;
610;31;V1RT, V2RT2;V1RT, V2RT2
611;31;L1ANG, L2ANG, L3ANG;L1ANG, L2ANG, L3ANG
612;31;-8<--, B2IFLC, B3IFLC;B2IFLC, B3IFLC
613;31;-8<--, S3EF2;S3EF2
614;31;G4GP;
615;31;L5PCP;L5PCP
616;31;-8<--, S2GF;S2GF
617;31;E4FGR2, E5BGR2;E4FGR2, E5BGR2
618;31;KUPARO;KUPARO
619;31;G3ELD1;
620;31;A1GE2;
621;31;-8<--, G5SE;G5SE
622;31;-8<--, V2IN;V2IN
623;31;L0PSY;L0PSY
624;31;LUORT;LUORT
625;31;B1SVI, B2SVI, B2SVI;B1SVI
626;31;E1EGED;
627;31;L1GEA, L1GEA;
628;31;-8<--, D5ACO;D5ACO
629;30;A3GES6;
630;30;B4QSS3, B5QSS3;B4QSS3, B5QSS3
631;30;D4RSE;
632;30;D2DRO;
633;30;B1SSO, B2SSO, B3SSO;B1SSO, B2SSO
634;30;B1IFLC, B2IFLC, B3IFLC;B1IFLC, B2IFLC
635;30;B4MQS, B5MQS2;B4MQS, B5MQS2
636;30;B4BNS;
637;30;V2CJ3;V2CJ3
638;30;B5RIS3;
639;30;B4SST, B5SST;B4SST, B5SST
640;30;-8<--, B2SM, B3SM, B3DFAS, B4DFAS, B5DFAS;B2SM, B3SM, B3DFAS, B4DFAS, B5DFAS
641;30;S3CCA3;S3CCA3
642;30;B4MES8, B5MES8;B4MES8, B5MES8
643;30;G3SE;
644;30;D1PMS4;D1PMS4
645;30;-8<--, S2GPB;S2GPB
646;30;G3PC;
647;30;BUPHC1, BUPHC2;BUPHC1
648;30;V3CCE3;V3CCE3
649;30;P1SGM;
650;30;A1GE, A2GP;A1GE, A2GP
651;29;B1SEP6, B2SEP6, B3SEP6;B1SEP6, B2SEP6
652;29;BUPHC1, BUPHC2;BUPHC1, BUPHC2
653;29;L5TIL4;L5TIL4
654;29;V1STD;
655;29;-8<--, BUAA2;BUAA2
656;29;B4MES, B5MES;B4MES
657;29;L1PMS5, L2PSY5, L3PSY5;L1PMS5, L2PSY5
658;29;A1CS;
659;29;G0SPI, G1SPIR;
660;29;B4TPH, B5TPH;B4TPH, B5TPH
661;29;BUOMM1;
662;29;B5SST;B5SST
663;29;G1MAT9;G1MAT9
664;29;-8<--, L1PMS5, L2PSY5, L3PSY5;L1PMS5, L2PSY5, L3PSY5
665;29;LXAA8;LXAA8
666;29;S1GE, S2GRH;S1GE
667;29;P3CCA2;
668;29;B1SVI, B2SVP, B3SVP;B1SVI, B2SVP, B3SVP
669;29;-8<--, B1IFVE, B2IFVE, B3IFVE;B1IFVE, B2IFVE, B3IFVE
670;29;S3MIS2;S3MIS2
671;29;C5CDL2;C5CDL2
672;29;V3EON;V3EON
673;29;S3ESF2;
674;29;B3MSP3;B3MSP3
675;29;E4MFP, E5MFP;E5MFP
676;29;D1AES, D1AES, D1AES;
677;29;L5ETF;L5ETF
678;28;E1EGE, E2EGE;E1EGE, E2EGE
679;28;-8<--, C4CEM;C4CEM
680;28;G4INFO, G5PRLS;G4INFO, G5PRLS
681;28;;B1IFDE, B2IFDE, B3IFDE
682;28;V3PAI2;V3PAI2
683;28;-8<--, L4PSY, L5PCP;L4PSY, L5PCP
684;28;V1GE, V2GRH;V1GE
685;28;-8<--, S3ME2;S3ME2
